so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,no2Flag,o3Flag,so2Flag
1,68,0.003,0.3,18,2,2,1,2024-04-23 12:00,1,0.007,1,0.051,,,,
1,65,0.003,0.4,18,2,2,1,2024-04-23 11:00,1,0.009,1,0.048,,,,
1,63,0.003,0.4,22,2,2,1,2024-04-23 10:00,1,0.009,1,0.046,,,,
1,61,0.003,0.4,23,2,2,1,2024-04-23 09:00,1,0.012,1,0.043,,,,
1,58,0.003,0.4,16,2,2,1,2024-04-23 08:00,1,0.016,1,0.039,,,,
1,56,0.003,0.4,13,2,2,1,2024-04-23 07:00,1,0.017,1,0.037,,,,
1,59,0.003,0.4,19,2,2,1,2024-04-23 06:00,1,0.013,1,0.041,,,,
1,66,0.002,0.3,14,2,2,1,2024-04-23 05:00,1,0.005,1,0.049,,,,
1,67,0.002,0.3,15,2,2,1,2024-04-23 04:00,1,0.003,1,0.050,,,,
1,66,0.002,0.3,13,2,2,1,2024-04-23 03:00,1,0.004,1,0.049,,,,
1,66,0.003,0.3,19,2,2,1,2024-04-23 02:00,1,0.003,1,0.049,,,,
1,65,0.002,0.3,19,2,2,1,2024-04-23 01:00,1,0.004,1,0.048,,,,
1,63,0.002,0.3,21,2,2,1,2024-04-22 24:00,1,0.006,1,0.046,,,,
1,63,0.003,0.3,23,2,2,1,2024-04-22 23:00,1,0.008,1,0.045,,,,
1,63,0.003,0.3,29,2,2,1,2024-04-22 22:00,1,0.008,1,0.045,,,,
1,63,0.003,0.4,24,2,2,1,2024-04-22 21:00,1,0.010,1,0.045,,,,
1,62,0.003,0.4,24,2,2,1,2024-04-22 20:00,1,0.014,1,0.044,,,,
1,64,0.003,0.4,26,2,2,1,2024-04-22 19:00,1,0.015,1,0.047,,,,
1,70,0.003,0.4,24,2,2,1,2024-04-22 18:00,1,0.010,1,0.054,,,,
1,70,0.003,0.4,29,2,2,1,2024-04-22 17:00,1,0.010,1,0.054,,,,
1,70,0.003,0.4,27,2,2,1,2024-04-22 16:00,1,0.009,1,0.054,,,,
1,69,0.003,0.4,23,2,2,1,2024-04-22 15:00,1,0.009,1,0.053,,,,
,-,-,-,26,,,,2024-04-22 14:00,,-,1,-,통신장애,통신장애,통신장애,통신장애
