so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,63,0.002,0.2,25,2,2,1,2024-04-23 12:00,1,0.012,1,0.045
1,62,0.002,0.2,24,2,2,1,2024-04-23 11:00,1,0.011,1,0.044
1,58,0.002,0.2,26,2,2,1,2024-04-23 10:00,1,0.014,1,0.040
1,56,0.002,0.3,17,2,2,1,2024-04-23 09:00,1,0.018,1,0.037
1,52,0.002,0.2,19,2,2,1,2024-04-23 08:00,1,0.021,1,0.032
1,45,0.002,0.2,23,1,1,1,2024-04-23 07:00,1,0.023,1,0.027
1,48,0.002,0.3,19,1,1,1,2024-04-23 06:00,1,0.020,1,0.029
1,55,0.002,0.2,14,2,2,1,2024-04-23 05:00,1,0.009,1,0.036
1,56,0.002,0.2,18,2,2,1,2024-04-23 04:00,1,0.007,1,0.037
1,57,0.002,0.2,15,2,2,1,2024-04-23 03:00,1,0.007,1,0.038
1,53,0.002,0.2,24,2,2,1,2024-04-23 02:00,1,0.007,1,0.034
1,55,0.002,0.2,26,2,2,1,2024-04-23 01:00,1,0.007,1,0.036
1,53,0.002,0.2,22,2,2,1,2024-04-22 24:00,1,0.009,1,0.033
1,52,0.002,0.2,22,2,2,1,2024-04-22 23:00,1,0.008,1,0.032
1,52,0.002,0.2,25,2,2,1,2024-04-22 22:00,1,0.010,1,0.032
1,53,0.002,0.2,26,2,2,1,2024-04-22 21:00,1,0.008,1,0.034
1,56,0.002,0.2,27,2,2,1,2024-04-22 20:00,1,0.007,1,0.037
1,59,0.002,0.2,33,2,2,1,2024-04-22 19:00,1,0.006,1,0.041
1,58,0.002,0.2,27,2,2,1,2024-04-22 18:00,1,0.012,1,0.040
1,57,0.002,0.2,25,2,2,1,2024-04-22 17:00,1,0.013,2,0.038
1,57,0.002,0.2,25,2,2,1,2024-04-22 16:00,1,0.011,2,0.038
1,58,0.002,0.2,27,2,2,1,2024-04-22 15:00,1,0.013,2,0.039
1,58,0.002,0.2,34,2,2,1,2024-04-22 14:00,1,0.013,2,0.040
