so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.002,0.5,30,2,2,1,2024-04-23 11:00,1,0.006,1,0.048
1,64,0.002,0.6,29,2,2,1,2024-04-23 10:00,1,0.009,1,0.047
1,62,0.002,0.6,23,2,2,1,2024-04-23 09:00,1,0.014,1,0.044
1,62,0.002,0.6,31,2,2,1,2024-04-23 08:00,1,0.014,1,0.044
1,64,0.002,0.6,25,2,2,1,2024-04-23 07:00,1,0.009,1,0.047
1,66,0.002,0.5,23,2,2,1,2024-04-23 06:00,1,0.005,1,0.049
1,68,0.002,0.5,23,2,2,1,2024-04-23 05:00,1,0.004,1,0.051
1,65,0.002,0.5,23,2,2,1,2024-04-23 04:00,1,0.005,1,0.048
1,55,0.002,0.6,29,2,2,1,2024-04-23 03:00,1,0.009,1,0.036
1,53,0.002,0.6,24,2,2,1,2024-04-23 02:00,1,0.011,1,0.033
1,61,0.002,0.5,24,2,2,1,2024-04-23 01:00,1,0.007,1,0.043
1,62,0.002,0.6,24,2,2,1,2024-04-22 24:00,1,0.007,1,0.044
1,63,0.002,0.6,23,2,2,1,2024-04-22 23:00,1,0.007,1,0.045
1,62,0.002,0.6,27,2,2,1,2024-04-22 22:00,1,0.007,1,0.044
1,62,0.002,0.5,29,2,2,1,2024-04-22 21:00,1,0.007,2,0.044
1,61,0.002,0.5,28,2,2,1,2024-04-22 20:00,1,0.008,2,0.043
1,61,0.002,0.6,30,2,2,1,2024-04-22 19:00,1,0.007,2,0.043
1,59,0.002,0.5,36,2,2,1,2024-04-22 18:00,1,0.007,2,0.041
1,59,0.002,0.6,36,2,2,1,2024-04-22 17:00,1,0.007,2,0.041
1,60,0.002,0.5,33,2,2,1,2024-04-22 16:00,1,0.006,2,0.042
1,56,0.002,0.5,30,2,2,1,2024-04-22 15:00,1,0.009,2,0.037
1,56,0.002,0.5,34,2,2,1,2024-04-22 14:00,1,0.008,2,0.037
1,57,0.002,0.6,30,2,2,1,2024-04-22 13:00,1,0.009,2,0.038
