so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,coFlag,pm10Flag,no2Flag,o3Flag,so2Flag
1,69,0.001,0.2,18,2,2,1,2024-04-23 11:00,1,0.005,1,0.053,,,,,
1,68,0.002,0.2,61,2,2,1,2024-04-23 10:00,1,0.005,1,0.051,,,,,
1,67,0.002,0.2,22,2,2,1,2024-04-23 09:00,1,0.005,1,0.050,,,,,
1,68,0.001,0.2,18,2,2,1,2024-04-23 08:00,1,0.005,1,0.051,,,,,
1,68,0.002,0.2,18,2,2,1,2024-04-23 07:00,1,0.005,1,0.052,,,,,
1,68,0.002,0.2,18,2,2,1,2024-04-23 06:00,1,0.004,1,0.052,,,,,
1,69,0.001,0.2,17,2,2,1,2024-04-23 05:00,1,0.004,1,0.053,,,,,
1,70,0.002,0.2,20,2,2,1,2024-04-23 04:00,1,0.003,1,0.054,,,,,
1,70,0.002,0.2,16,2,2,1,2024-04-23 03:00,1,0.003,1,0.054,,,,,
1,70,0.001,0.2,17,2,2,1,2024-04-23 02:00,1,0.004,1,0.054,,,,,
1,68,0.001,0.2,22,2,2,1,2024-04-23 01:00,1,0.004,1,0.052,,,,,
1,68,0.002,0.2,18,2,2,1,2024-04-22 24:00,1,0.004,1,0.052,,,,,
1,67,0.002,0.2,21,2,2,1,2024-04-22 23:00,1,0.005,1,0.050,,,,,
1,68,0.002,0.2,27,2,2,1,2024-04-22 22:00,1,0.005,1,0.051,,,,,
1,68,0.002,0.2,30,2,2,1,2024-04-22 21:00,1,0.006,2,0.052,,,,,
1,65,0.002,0.2,32,2,2,1,2024-04-22 20:00,1,0.009,2,0.048,,,,,
1,65,0.002,0.3,33,2,2,1,2024-04-22 19:00,1,0.012,2,0.048,,,,,
1,-,0.002,0.2,31,2,,1,2024-04-22 18:00,1,0.006,,0.055,,,,,
1,-,0.002,0.2,33,2,,1,2024-04-22 17:00,1,0.005,,0.055,,,,,
,-,-,-,-,,,,2024-04-22 16:00,,-,,-,통신장애,통신장애,통신장애,통신장애,통신장애
,-,-,-,-,,,,2024-04-22 15:00,,-,1,-,통신장애,통신장애,통신장애,통신장애,통신장애
1,70,0.002,0.2,28,2,2,1,2024-04-22 14:00,1,0.005,1,0.054,,,,,
