coFlag,khaiValue,so2Value,coValue,pm10Flag,pm10Value,no2Flag,o3Flag,so2Flag,dataTime,no2Value,o3Value,so2Grade,o3Grade,khaiGrade,no2Grade,coGrade,pm10Grade
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 11:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 10:00,-,-,,,,,,
통신장애,-,-,-,통신장애,-,통신장애,통신장애,통신장애,2024-04-23 09:00,-,-,,,,,,
,69,0.001,0.2,통신장애,-,,,,2024-04-23 08:00,0.004,0.053,1,2,2,1,1,1
,68,0.001,0.2,,23,,,,2024-04-23 07:00,0.003,0.052,1,2,2,1,1,1
,68,0.001,0.2,,18,,,,2024-04-23 06:00,0.003,0.052,1,2,2,1,1,1
,68,0.001,0.2,,24,,,,2024-04-23 05:00,0.003,0.052,1,2,2,1,1,1
,68,0.001,0.2,,20,,,,2024-04-23 04:00,0.003,0.052,1,2,2,1,1,1
,68,0.001,0.2,,21,,,,2024-04-23 03:00,0.003,0.052,1,2,2,1,1,1
,68,0.001,0.2,,16,,,,2024-04-23 02:00,0.003,0.051,1,2,2,1,1,1
,67,0.001,0.2,,19,,,,2024-04-23 01:00,0.003,0.050,1,2,2,1,1,1
,65,0.001,0.2,,23,,,,2024-04-22 24:00,0.004,0.048,1,2,2,1,1,1
,63,0.001,0.2,,25,,,,2024-04-22 23:00,0.004,0.046,1,2,2,1,1,1
,63,0.001,0.2,,20,,,,2024-04-22 22:00,0.004,0.045,1,2,2,1,1,1
,62,0.001,0.2,,23,,,,2024-04-22 21:00,0.004,0.044,1,2,2,1,1,2
,63,0.001,0.2,,27,,,,2024-04-22 20:00,0.004,0.046,1,2,2,1,1,2
,64,0.001,0.2,,32,,,,2024-04-22 19:00,0.004,0.047,1,2,2,1,1,2
,72,0.001,0.2,,43,,,,2024-04-22 18:00,0.004,0.056,1,2,2,1,1,2
,75,0.001,0.2,,34,,,,2024-04-22 17:00,0.004,0.060,1,2,2,1,1,1
,74,0.001,0.2,,31,,,,2024-04-22 16:00,0.004,0.059,1,2,2,1,1,1
,73,0.001,0.2,,32,,,,2024-04-22 15:00,0.004,0.057,1,2,2,1,1,1
,72,0.001,0.2,,28,,,,2024-04-22 14:00,0.004,0.056,1,2,2,1,1,1
