so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,75,0.002,0.2,29,2,2,1,2024-04-23 11:00,1,0.006,1,0.060
1,72,0.002,0.2,21,2,2,1,2024-04-23 10:00,1,0.007,1,0.056
1,69,0.002,0.2,26,2,2,1,2024-04-23 09:00,1,0.008,1,0.053
1,64,0.003,0.2,21,2,2,1,2024-04-23 08:00,1,0.011,1,0.047
1,53,0.002,0.2,18,2,2,1,2024-04-23 07:00,1,0.013,1,0.034
1,45,0.002,0.2,16,1,1,1,2024-04-23 06:00,1,0.011,1,0.027
1,54,0.002,0.2,20,2,2,1,2024-04-23 05:00,1,0.010,1,0.035
1,59,0.002,0.2,20,2,2,1,2024-04-23 04:00,1,0.007,1,0.041
1,65,0.002,0.2,18,2,2,1,2024-04-23 03:00,1,0.006,1,0.048
1,65,0.002,0.2,24,2,2,1,2024-04-23 02:00,1,0.005,1,0.048
1,65,0.002,0.2,29,2,2,1,2024-04-23 01:00,1,0.006,1,0.048
1,62,0.002,0.2,35,2,2,1,2024-04-22 24:00,1,0.007,1,0.044
1,61,0.002,0.2,30,2,2,1,2024-04-22 23:00,1,0.007,1,0.043
1,62,0.002,0.2,27,2,2,1,2024-04-22 22:00,1,0.008,1,0.044
1,63,0.002,0.2,27,2,2,1,2024-04-22 21:00,1,0.009,1,0.045
1,63,0.002,0.2,32,2,2,1,2024-04-22 20:00,1,0.009,1,0.046
1,65,0.002,0.2,27,2,2,1,2024-04-22 19:00,1,0.009,1,0.048
1,70,0.002,0.2,32,2,2,1,2024-04-22 18:00,1,0.007,1,0.054
1,69,0.002,0.2,23,2,2,1,2024-04-22 17:00,1,0.006,1,0.053
1,69,0.002,0.2,25,2,2,1,2024-04-22 16:00,1,0.006,2,0.053
1,70,0.002,0.2,27,2,2,1,2024-04-22 15:00,1,0.005,2,0.054
1,71,0.002,0.2,30,2,2,1,2024-04-22 14:00,1,0.006,2,0.055
1,71,0.002,0.2,33,2,2,1,2024-04-22 13:00,1,0.005,2,0.055
