so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value,khaiGrade
1,-,0.004,0.3,21,2,1,2024-04-23 11:00,1,0.004,1,0.061,
1,-,0.004,0.3,21,2,1,2024-04-23 10:00,1,0.004,1,0.057,
1,-,0.003,0.3,18,2,1,2024-04-23 09:00,1,0.005,1,0.052,
1,-,0.003,0.3,19,2,1,2024-04-23 08:00,1,0.005,1,0.050,
1,-,0.003,0.3,18,2,1,2024-04-23 07:00,1,0.005,1,0.049,
1,-,0.003,0.3,14,2,1,2024-04-23 06:00,1,0.005,1,0.050,
1,-,0.003,0.3,14,2,1,2024-04-23 05:00,1,0.005,1,0.048,
1,-,0.003,0.3,19,2,1,2024-04-23 04:00,1,0.004,1,0.052,
1,-,0.003,0.3,15,2,1,2024-04-23 03:00,1,0.004,1,0.052,
1,-,0.003,0.3,18,2,1,2024-04-23 02:00,1,0.004,1,0.053,
1,68,0.003,0.3,17,2,1,2024-04-23 01:00,1,0.004,1,0.051,2
1,67,0.003,0.3,20,2,1,2024-04-22 24:00,1,0.005,1,0.050,2
1,66,0.004,0.3,24,2,1,2024-04-22 23:00,1,0.005,1,0.049,2
1,66,0.004,0.3,29,2,1,2024-04-22 22:00,1,0.005,2,0.049,2
1,68,0.004,0.3,32,2,1,2024-04-22 21:00,1,0.005,2,0.052,2
1,71,0.004,0.3,31,2,1,2024-04-22 20:00,1,0.006,2,0.055,2
1,73,0.004,0.3,34,2,1,2024-04-22 19:00,1,0.006,1,0.057,2
1,77,0.004,0.3,29,2,1,2024-04-22 18:00,1,0.005,1,0.062,2
1,79,0.004,0.3,30,2,1,2024-04-22 17:00,1,0.005,1,0.065,2
1,78,0.004,0.3,26,2,1,2024-04-22 16:00,1,0.004,1,0.064,2
1,77,0.004,0.3,27,2,1,2024-04-22 15:00,1,0.005,1,0.062,2
1,77,0.004,0.3,30,2,1,2024-04-22 14:00,1,0.005,1,0.062,2
1,73,0.004,0.3,28,2,1,2024-04-22 13:00,1,0.005,2,0.058,2
