so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,66,0.002,0.2,28,2,2,1,2024-04-23 12:00,1,0.007,1,0.049
1,67,0.003,0.2,30,2,2,1,2024-04-23 11:00,1,0.008,1,0.050
1,66,0.003,0.2,26,2,2,1,2024-04-23 10:00,1,0.008,1,0.049
1,67,0.004,0.2,32,2,2,1,2024-04-23 09:00,1,0.009,1,0.050
1,68,0.004,0.2,22,2,2,1,2024-04-23 08:00,1,0.009,1,0.051
1,69,0.003,0.2,23,2,2,1,2024-04-23 07:00,1,0.008,1,0.053
1,72,0.003,0.2,28,2,2,1,2024-04-23 06:00,1,0.007,1,0.056
1,72,0.003,0.2,25,2,2,1,2024-04-23 05:00,1,0.006,1,0.056
1,72,0.003,0.2,26,2,2,1,2024-04-23 04:00,1,0.006,1,0.056
1,71,0.003,0.2,29,2,2,1,2024-04-23 03:00,1,0.007,1,0.055
1,71,0.003,0.2,31,2,2,1,2024-04-23 02:00,1,0.007,1,0.055
1,74,0.002,0.2,26,2,2,1,2024-04-23 01:00,1,0.005,1,0.059
1,71,0.003,0.2,27,2,2,1,2024-04-22 24:00,1,0.007,1,0.055
1,66,0.003,0.3,26,2,2,1,2024-04-22 23:00,1,0.010,1,0.049
1,64,0.003,0.3,29,2,2,1,2024-04-22 22:00,1,0.012,1,0.047
1,63,0.003,0.3,31,2,2,1,2024-04-22 21:00,1,0.012,1,0.046
1,62,0.003,0.3,31,2,2,1,2024-04-22 20:00,1,0.012,1,0.044
1,60,0.003,0.2,33,2,2,1,2024-04-22 19:00,1,0.013,1,0.042
1,62,0.003,0.2,35,2,2,1,2024-04-22 18:00,1,0.012,1,0.044
1,61,0.003,0.2,23,2,2,1,2024-04-22 17:00,1,0.012,1,0.043
1,62,0.002,0.2,20,2,2,1,2024-04-22 16:00,1,0.010,1,0.044
1,59,0.002,0.2,18,2,2,1,2024-04-22 15:00,1,0.009,1,0.041
1,58,0.002,0.2,19,2,2,1,2024-04-22 14:00,1,0.008,1,0.040
