so2Grade,khaiValue,so2Value,coValue,pm10Value,o3Grade,khaiGrade,no2Grade,dataTime,coGrade,no2Value,pm10Grade,o3Value
1,65,0.002,0.2,17,2,2,1,2024-04-23 11:00,1,0.003,1,0.048
1,67,0.002,0.2,24,2,2,1,2024-04-23 10:00,1,0.003,1,0.050
1,71,0.002,0.2,25,2,2,1,2024-04-23 09:00,1,0.003,1,0.055
1,73,0.002,0.2,26,2,2,1,2024-04-23 08:00,1,0.004,1,0.057
1,75,0.002,0.2,22,2,2,1,2024-04-23 07:00,1,0.004,1,0.060
1,76,0.002,0.3,29,2,2,1,2024-04-23 06:00,1,0.006,1,0.061
1,78,0.002,0.2,25,2,2,1,2024-04-23 05:00,1,0.003,1,0.064
1,78,0.002,0.2,27,2,2,1,2024-04-23 04:00,1,0.003,1,0.063
1,75,0.002,0.2,24,2,2,1,2024-04-23 03:00,1,0.003,1,0.060
1,73,0.003,0.2,29,2,2,1,2024-04-23 02:00,1,0.003,1,0.057
1,73,0.003,0.2,28,2,2,1,2024-04-23 01:00,1,0.004,1,0.057
1,73,0.002,0.2,27,2,2,1,2024-04-22 24:00,1,0.003,1,0.057
1,73,0.002,0.2,30,2,2,1,2024-04-22 23:00,1,0.003,1,0.057
1,73,0.002,0.2,32,2,2,1,2024-04-22 22:00,1,0.003,1,0.057
1,74,0.002,0.2,37,2,2,1,2024-04-22 21:00,1,0.003,1,0.059
1,74,0.002,0.2,32,2,2,1,2024-04-22 20:00,1,0.003,1,0.059
1,74,0.002,0.2,26,2,2,1,2024-04-22 19:00,1,0.003,1,0.059
1,75,0.002,0.2,26,2,2,1,2024-04-22 18:00,1,0.003,1,0.060
1,74,0.001,0.2,24,2,2,1,2024-04-22 17:00,1,0.003,1,0.059
1,74,0.000,0.2,27,2,2,1,2024-04-22 16:00,1,0.003,1,0.059
1,73,0.001,0.2,25,2,2,1,2024-04-22 15:00,1,0.003,1,0.057
1,68,0.002,0.2,22,2,2,1,2024-04-22 14:00,1,0.003,1,0.051
